date_heure_debut,total_requested_volume_SA,total_requested_volume_DA,total_activated_volume_SA,total_activated_volume_DA,settlement_price_previous,settlement_price_current,total_volume_submitted_offers,total_volume_filtered_offers
2026-06-03T07:45:00+02:00,,,,,,,,
2026-06-03T08:00:00+02:00,81.0,,,,,,81.0,
2026-06-03T08:15:00+02:00,,,,,,,,
2026-06-03T08:30:00+02:00,109.0,,27.01,,,,109.0,
2026-06-03T08:45:00+02:00,,,,,,,,
2026-06-03T09:00:00+02:00,,,,,,,,
2026-06-03T09:15:00+02:00,161.0,,11.0,,,,161.0,
2026-06-03T09:30:00+02:00,179.0,,179.02,,,,179.0,
2026-06-03T09:45:00+02:00,191.0,,190.99,,,,191.0,
2026-06-03T10:00:00+02:00,208.0,,208.01,,,,208.0,
2026-06-03T10:15:00+02:00,,,,,,,222.0,
2026-06-03T10:30:00+02:00,243.0,,93.0,,,,243.0,
2026-06-03T10:45:00+02:00,,,,,,,275.0,
2026-06-03T11:00:00+02:00,,,,,,,,
2026-06-03T11:15:00+02:00,,,,,,,293.0,
2026-06-03T11:30:00+02:00,,,,,,,,
2026-06-03T11:45:00+02:00,,,,,,,309.0,
2026-06-03T12:00:00+02:00,,,,,,,,
2026-06-03T12:15:00+02:00,,,,,,,321.0,
2026-06-03T12:30:00+02:00,,,,,,,,
2026-06-03T12:45:00+02:00,,,,,,,,
2026-06-03T13:00:00+02:00,,,,,,,331.0,
2026-06-03T13:15:00+02:00,335.0,,187.99,,,,335.0,
2026-06-03T13:30:00+02:00,,,,,,,340.0,
2026-06-03T13:45:00+02:00,,,,,,,,
2026-06-03T14:00:00+02:00,,,,,,,,
2026-06-03T14:15:00+02:00,,,,,,,,
2026-06-03T14:30:00+02:00,,,,,,,330.0,
2026-06-03T14:45:00+02:00,,,,,,,,
2026-06-03T15:00:00+02:00,322.0,,217.01,,,,322.0,
2026-06-03T15:15:00+02:00,,,,,,,,
2026-06-03T15:30:00+02:00,,,,,,,,
2026-06-03T15:45:00+02:00,,,,,,,280.0,
2026-06-03T16:00:00+02:00,,,,,,,269.0,
2026-06-03T16:15:00+02:00,,,,,,,,
2026-06-03T16:30:00+02:00,,,,,,,,
2026-06-03T16:45:00+02:00,247.0,,205.99,,,,247.0,
2026-06-03T17:00:00+02:00,234.0,,,,,,234.0,
2026-06-03T17:15:00+02:00,,,,,,,,
2026-06-03T17:30:00+02:00,,,,,,,,
2026-06-03T17:45:00+02:00,190.0,,41.0,,,,190.0,
2026-06-03T18:00:00+02:00,,,,,,,,
2026-06-03T18:15:00+02:00,,,,,,,154.0,
2026-06-03T18:30:00+02:00,,,,,,,,
2026-06-03T18:45:00+02:00,,,,,,,117.0,
2026-06-03T19:00:00+02:00,,,,,,,,
2026-06-03T19:15:00+02:00,,,,,,,,
2026-06-03T19:30:00+02:00,,,,,,,53.0,
2026-06-03T19:45:00+02:00,,,,,,,,
2026-06-03T20:00:00+02:00,,,,,,,,
2026-06-03T20:15:00+02:00,,,,,,,,
2026-06-03T20:30:00+02:00,2.0,,2.0,,,,2.0,
2026-06-03T20:45:00+02:00,,,,,,,,
2026-06-03T21:00:00+02:00,,,,,,,,
2026-06-03T21:15:00+02:00,,,,,,,,
2026-06-03T21:30:00+02:00,,,,,,,,
2026-06-03T21:45:00+02:00,,,,,,,,
2026-06-03T22:00:00+02:00,,,,,,,,
2026-06-03T22:15:00+02:00,,,,,,,,
2026-06-03T22:30:00+02:00,,,,,,,,
2026-06-03T22:45:00+02:00,,,,,,,,
2026-06-03T23:00:00+02:00,,,,,,,,
2026-06-03T23:15:00+02:00,,,,,,,,
2026-06-03T23:30:00+02:00,,,,,,,,
2026-06-03T23:45:00+02:00,,,,,,,,
2026-06-04T00:00:00+02:00,,,,,,,,
2026-06-04T00:15:00+02:00,,,,,,,,
2026-06-04T00:30:00+02:00,,,,,,,,
2026-06-04T00:45:00+02:00,,,,,,,,
2026-06-04T01:00:00+02:00,,,,,,,,
2026-06-04T01:15:00+02:00,,,,,,,,
2026-06-04T01:30:00+02:00,,,,,,,,
2026-06-04T01:45:00+02:00,,,,,,,,
2026-06-04T02:00:00+02:00,,,,,,,,
2026-06-04T02:15:00+02:00,,,,,,,,
2026-06-04T02:30:00+02:00,,,,,,,,
2026-06-04T02:45:00+02:00,,,,,,,,
2026-06-04T03:00:00+02:00,,,,,,,,
2026-06-04T03:15:00+02:00,,,,,,,,
2026-06-04T03:30:00+02:00,,,,,,,,
2026-06-04T03:45:00+02:00,,,,,,,,
2026-06-04T04:00:00+02:00,,,,,,,,
2026-06-04T04:15:00+02:00,,,,,,,,
2026-06-04T04:30:00+02:00,,,,,,,,
2026-06-04T04:45:00+02:00,,,,,,,,
2026-06-04T05:00:00+02:00,,,,,,,,
2026-06-04T05:15:00+02:00,,,,,,,,
2026-06-04T05:30:00+02:00,,,,,,,,
2026-06-04T05:45:00+02:00,,,,,,,,
2026-06-04T06:00:00+02:00,,,,,,,,
2026-06-04T06:15:00+02:00,,,,,,,,
2026-06-04T06:30:00+02:00,,,,,,,,
2026-06-04T06:45:00+02:00,,,,,,,,
2026-06-04T07:00:00+02:00,,,,,,,3.0,
2026-06-04T07:15:00+02:00,,,,,,,,
2026-06-04T07:30:00+02:00,,,,,,,23.0,
2026-06-04T07:45:00+02:00,,,,,,,,
2026-06-04T08:00:00+02:00,50.0,,12.0,,,,50.0,
2026-06-04T08:15:00+02:00,,,,,,,,
2026-06-04T08:30:00+02:00,,,,,,,68.0,
2026-06-04T08:45:00+02:00,,,,,,,,
2026-06-04T09:00:00+02:00,,,,,,,,
2026-06-04T09:15:00+02:00,,,,,,,106.0,
2026-06-04T09:30:00+02:00,,,,,,,116.0,
2026-06-04T09:45:00+02:00,,,,,,,130.0,
2026-06-04T10:00:00+02:00,,,,,,,147.0,
2026-06-04T10:15:00+02:00,,,,,,,157.0,
2026-06-04T10:30:00+02:00,,,,,,,170.0,
2026-06-04T10:45:00+02:00,,,,,,,,
2026-06-04T11:00:00+02:00,,,,,,,,
2026-06-04T11:15:00+02:00,240.0,,,,,,240.0,
2026-06-04T11:30:00+02:00,,,,,,,,
2026-06-04T11:45:00+02:00,,,,,,,257.0,
2026-06-04T12:00:00+02:00,,,,,,,,
2026-06-04T12:15:00+02:00,269.0,,,,,,269.0,
2026-06-04T12:30:00+02:00,,,,,,,,
2026-06-04T12:45:00+02:00,,,,,,,,
2026-06-04T13:00:00+02:00,,,,,,,283.0,
2026-06-04T13:15:00+02:00,,,,,,,286.0,
2026-06-04T13:30:00+02:00,266.0,,,,,,266.0,
2026-06-04T13:45:00+02:00,,,,,,,,
2026-06-04T14:00:00+02:00,,,,,,,,
2026-06-04T14:15:00+02:00,,,,,,,,
2026-06-04T14:30:00+02:00,252.0,,,,,,252.0,
2026-06-04T14:45:00+02:00,,,,,,,,
2026-06-04T15:00:00+02:00,240.0,,,,,,240.0,
2026-06-04T15:15:00+02:00,,,,,,,,
2026-06-04T15:30:00+02:00,,,,,,,,
2026-06-04T15:45:00+02:00,,,,,,,222.0,
2026-06-04T16:00:00+02:00,212.0,,62.02,,,,212.0,
2026-06-04T16:15:00+02:00,,,,,,,,
2026-06-04T16:30:00+02:00,,,,,,,,
2026-06-04T16:45:00+02:00,,,,,,,177.0,
2026-06-04T17:00:00+02:00,169.0,,,,,,169.0,
2026-06-04T17:15:00+02:00,,,,,,,,
2026-06-04T17:30:00+02:00,,,,,,,,
2026-06-04T17:45:00+02:00,,,,,,,148.0,
2026-06-04T18:00:00+02:00,,,,,,,,
2026-06-04T18:15:00+02:00,128.0,,,,,,128.0,
2026-06-04T18:30:00+02:00,,,,,,,,
2026-06-04T18:45:00+02:00,,,,,,,106.0,
2026-06-04T19:00:00+02:00,,,,,,,,
2026-06-04T19:15:00+02:00,,,,,,,,
2026-06-04T19:30:00+02:00,,,,,,,50.0,
2026-06-04T19:45:00+02:00,,,,,,,,
2026-06-04T20:00:00+02:00,,,,,,,,
2026-06-04T20:15:00+02:00,,,,,,,,
2026-06-04T20:30:00+02:00,,,,,,,20.0,
2026-06-04T20:45:00+02:00,,,,,,,,
2026-06-04T21:00:00+02:00,,,,,,,,
2026-06-04T21:15:00+02:00,,,,,,,14.0,
2026-06-04T21:30:00+02:00,,,,,,,,
2026-06-04T21:45:00+02:00,,,,,,,13.0,
2026-06-04T22:00:00+02:00,,,,,,,13.0,
2026-06-04T22:15:00+02:00,,,,,,,13.0,
2026-06-04T22:30:00+02:00,,,,,,,13.0,
2026-06-04T22:45:00+02:00,,,,,,,,
2026-06-04T23:00:00+02:00,,,,,,,,
2026-06-04T23:15:00+02:00,,,,,,,12.0,
2026-06-04T23:30:00+02:00,12.0,,12.0,,,,12.0,
2026-06-04T23:45:00+02:00,,,,,,,12.0,
2026-06-05T00:00:00+02:00,,,,,,,,
2026-06-05T00:15:00+02:00,,,,,,,11.0,
2026-06-05T00:30:00+02:00,,,,,,,,
2026-06-05T00:45:00+02:00,10.0,,10.0,,,,10.0,
2026-06-05T01:00:00+02:00,,,,,,,,
2026-06-05T01:15:00+02:00,,,,,,,,
2026-06-05T01:30:00+02:00,,,,,,,10.0,
2026-06-05T01:45:00+02:00,,,,,,,10.0,
2026-06-05T02:00:00+02:00,,,,,,,,
2026-06-05T02:15:00+02:00,,,,,,,,
2026-06-05T02:30:00+02:00,,,,,,,9.0,
2026-06-05T02:45:00+02:00,,,,,,,,
2026-06-05T03:00:00+02:00,,,,,,,10.0,
2026-06-05T03:15:00+02:00,,,,,,,10.0,
2026-06-05T03:30:00+02:00,,,,,,,10.0,
2026-06-05T03:45:00+02:00,,,,,,,10.0,
2026-06-05T04:00:00+02:00,,,,,,,9.0,
2026-06-05T04:15:00+02:00,,,,,,,8.0,
2026-06-05T04:30:00+02:00,,,,,,,,
2026-06-05T04:45:00+02:00,,,,,,,8.0,
2026-06-05T05:00:00+02:00,,,,,,,8.0,
2026-06-05T05:15:00+02:00,,,,,,,,
2026-06-05T05:30:00+02:00,,,,,,,,
2026-06-05T05:45:00+02:00,,,,,,,8.0,
2026-06-05T06:00:00+02:00,,,,,,,,
2026-06-05T06:15:00+02:00,,,,,,,,
2026-06-05T06:30:00+02:00,,,,,,,8.0,
2026-06-05T06:45:00+02:00,,,,,,,10.0,
2026-06-05T07:00:00+02:00,14.0,,13.99,,,,14.0,
2026-06-05T07:15:00+02:00,,,,,,,,
2026-06-05T07:30:00+02:00,,,,,,,52.0,
2026-06-05T07:45:00+02:00,,,,,,,,
2026-06-05T08:00:00+02:00,,,,,,,97.0,
2026-06-05T08:15:00+02:00,,,,,,,,
2026-06-05T08:30:00+02:00,129.0,,128.98,,,,129.0,
2026-06-05T08:45:00+02:00,,,,,,,,
2026-06-05T09:00:00+02:00,,,,,,,,
2026-06-05T09:15:00+02:00,,,,,,,199.0,
2026-06-05T09:30:00+02:00,220.0,,70.01,,,,220.0,
2026-06-05T09:45:00+02:00,,,,,,,239.0,
