date_heure_debut,date_heure_fin,upward_weighted_average_price,downward_weighted_average_price,upward_marginal_price,downward_marginal_price,terre_clearing_price,upward_weighted_average_price_afrr_fr,downward_weighted_average_price_afrr_fr
2026-06-09T15:30:00+02:00,2026-06-09T15:45:00+02:00,-10.58,1.51,-10.58,1.51,,-10.58,1.51
2026-06-09T15:15:00+02:00,2026-06-09T15:30:00+02:00,-10.58,-20.12,-10.58,-20.12,,-10.58,-20.12
2026-06-09T15:00:00+02:00,2026-06-09T15:15:00+02:00,-10.65,-53.45,-10.65,-53.45,,-10.65,-53.45
2026-06-09T14:45:00+02:00,2026-06-09T15:00:00+02:00,-19.08,-85.25,-19.08,-168,,-19.08,-30.41
2026-06-09T14:30:00+02:00,2026-06-09T14:45:00+02:00,15.49,15.23,15.49,15.23,,15.49,15.23
2026-06-09T14:15:00+02:00,2026-06-09T14:30:00+02:00,-19.56,6.43,-19.56,6.43,,-19.56,6.43
2026-06-09T14:00:00+02:00,2026-06-09T14:15:00+02:00,-19.78,-14.84,-19.78,-14.84,,-19.78,-14.84
2026-06-09T13:45:00+02:00,2026-06-09T14:00:00+02:00,-10.87,-143.09,-10.87,-340,,-10.87,-32.34
2026-06-09T13:30:00+02:00,2026-06-09T13:45:00+02:00,-340,-141.16,-10.84,-340,,-10.84,-8.28
2026-06-09T13:15:00+02:00,2026-06-09T13:30:00+02:00,-10.84,-67.03,-10.84,-147.8,,-10.84,-43.59
2026-06-09T13:00:00+02:00,2026-06-09T13:15:00+02:00,-10.64,-9.49,-10.64,-9.49,,-10.64,-9.49
2026-06-09T12:45:00+02:00,2026-06-09T13:00:00+02:00,0,-21.6,0,-21.6,,0,-21.6
2026-06-09T12:30:00+02:00,2026-06-09T12:45:00+02:00,0,23.48,0,-0.49,,0,25.21
2026-06-09T12:15:00+02:00,2026-06-09T12:30:00+02:00,0,-83.72,0,-168,,0,12.06
2026-06-09T12:00:00+02:00,2026-06-09T12:15:00+02:00,0,-96.67,0,-168,,0,11.98
2026-06-09T11:45:00+02:00,2026-06-09T12:00:00+02:00,-155,-118.26,-11.92,-155,,-11.92,10.85
2026-06-09T11:30:00+02:00,2026-06-09T11:45:00+02:00,-11.92,7.18,-11.92,0.01,,-11.92,14.47
2026-06-09T11:15:00+02:00,2026-06-09T11:30:00+02:00,48.99,3.45,115.3,3.45,,-11.92,3.45
2026-06-09T11:00:00+02:00,2026-06-09T11:15:00+02:00,20.3,-190.2,115.3,-190.2,,-14.54,-190.2
2026-06-09T10:45:00+02:00,2026-06-09T11:00:00+02:00,36.03,-43.62,115.3,-146,,-14.54,2.77
2026-06-09T10:30:00+02:00,2026-06-09T10:45:00+02:00,60.09,52.88,115.3,47.9,,9.35,47.9
2026-06-09T10:15:00+02:00,2026-06-09T10:30:00+02:00,56.52,55.32,115.3,54.46,,16.81,54.46
2026-06-09T10:00:00+02:00,2026-06-09T10:15:00+02:00,64.7,-240.52,115.3,-240.52,,-14.13,-240.52
2026-06-09T09:45:00+02:00,2026-06-09T10:00:00+02:00,44.84,-196.77,115.3,-196.77,,-9.46,-196.77
2026-06-09T09:30:00+02:00,2026-06-09T09:45:00+02:00,31.36,-15.44,115.3,-15.44,,-10.2,-15.44
2026-06-09T09:15:00+02:00,2026-06-09T09:30:00+02:00,14.26,-3.33,14.26,-3.33,,-10.2,-3.33
2026-06-09T09:00:00+02:00,2026-06-09T09:15:00+02:00,14.26,2.9,14.26,2.9,,-11.02,2.9
2026-06-09T08:45:00+02:00,2026-06-09T09:00:00+02:00,17.01,3.31,42.8,3.31,,42.8,3.31
2026-06-09T08:30:00+02:00,2026-06-09T08:45:00+02:00,4.65,8.93,8.22,3.26,,8.22,25.79
2026-06-09T08:15:00+02:00,2026-06-09T08:30:00+02:00,47.26,56.32,52.45,56.31,,52.45,56.31
2026-06-09T08:00:00+02:00,2026-06-09T08:15:00+02:00,43.44,33.7,52.2,33.7,,42.68,33.7
2026-06-09T07:45:00+02:00,2026-06-09T08:00:00+02:00,119.54,106.5,117.23,106.5,,117.23,106.5
2026-06-09T07:30:00+02:00,2026-06-09T07:45:00+02:00,120.82,84.55,91.83,80.08,,91.83,80.08
2026-06-09T07:15:00+02:00,2026-06-09T07:30:00+02:00,-10.53,14.27,-10.53,14.27,,-10.53,14.27
2026-06-09T07:00:00+02:00,2026-06-09T07:15:00+02:00,-9.5,-28.34,-9.5,-28.34,,-9.5,-28.34
2026-06-09T06:45:00+02:00,2026-06-09T07:00:00+02:00,24.98,26.48,24.99,26.48,,24.99,26.48
2026-06-09T06:30:00+02:00,2026-06-09T06:45:00+02:00,25.97,0.46,24.84,-3.9,,24.84,38.57
2026-06-09T06:15:00+02:00,2026-06-09T06:30:00+02:00,62.33,2.82,62.7,-3.9,,62.7,12.57
2026-06-09T06:00:00+02:00,2026-06-09T06:15:00+02:00,31.87,-40.12,31.87,-97.02,,31.87,-97.02
2026-06-09T05:45:00+02:00,2026-06-09T06:00:00+02:00,76.29,4.86,78.1,-3.13,,0,-3.13
2026-06-09T05:30:00+02:00,2026-06-09T05:45:00+02:00,12.07,14.17,11.92,11.41,,11.92,62.29
2026-06-09T05:15:00+02:00,2026-06-09T05:30:00+02:00,42.33,12.79,42.33,11.41,,42.33,25.38
2026-06-09T05:00:00+02:00,2026-06-09T05:15:00+02:00,16.1,13.26,15.57,11.41,,15.57,27.21
2026-06-09T04:45:00+02:00,2026-06-09T05:00:00+02:00,18.68,15.48,18.68,11.41,,18.68,25.07
2026-06-09T04:30:00+02:00,2026-06-09T04:45:00+02:00,18.33,12.53,18.33,11.41,,18.33,29.4
2026-06-09T04:15:00+02:00,2026-06-09T04:30:00+02:00,18.33,12.7,18.33,11.41,,18.33,34.5
2026-06-09T04:00:00+02:00,2026-06-09T04:15:00+02:00,0,11.5,0,11.41,,0,51.73
2026-06-09T03:45:00+02:00,2026-06-09T04:00:00+02:00,14.36,11.75,14.4,11.41,,14.4,94.13
2026-06-09T03:30:00+02:00,2026-06-09T03:45:00+02:00,26.73,13.56,26.71,11.41,,26.71,27.28
2026-06-09T03:15:00+02:00,2026-06-09T03:30:00+02:00,25.26,13.8,25.84,11.41,,25.84,39.36
2026-06-09T03:00:00+02:00,2026-06-09T03:15:00+02:00,22.47,11.64,22.42,11.41,,22.42,34.86
2026-06-09T02:45:00+02:00,2026-06-09T03:00:00+02:00,31.44,11.81,31.66,11.41,,31.66,50
2026-06-09T02:30:00+02:00,2026-06-09T02:45:00+02:00,20.74,15.92,20.97,11.41,,20.97,28.54
2026-06-09T02:15:00+02:00,2026-06-09T02:30:00+02:00,14.97,9.93,14.97,4.68,,14.97,4.68
2026-06-09T02:00:00+02:00,2026-06-09T02:15:00+02:00,43,3.89,43,-14.27,,14.97,-14.27
